"Doctor Name","Hospital Name","Field","State","City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Naveen Malhotra","Holy Family Hospital Chandigarh","Nephrology","Chandigarh","Chandigarh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rohan Rao","KIMS Hospital Churachandpur","ENT","Manipur","Churachandpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Pooja Bose","KIMS Hospital Raipur","Gastroenterology","Chhattisgarh","Raipur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anjali Khan","Government Medical College and Hospital, Tirupati","Radiology","Andhra Pradesh","Tirupati","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Priyanka Pandey","Medanta - The Medicity Diu","Urology","Dadra and Nagar Haveli and Daman and Diu","Diu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Divya Reddy","City Life Hospital Dewas","Radiology","Madhya Pradesh","Dewas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Arjun Patel","Max Super Speciality Hospital Agra","Orthopedics","Uttar Pradesh","Agra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Vivek Chauhan","LifeLine Hospital Imphal","Nephrology","Manipur","Imphal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Menon","Fortis Hospital Ponda","Gynecology","Goa","Ponda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Suresh Joshi","Fortis Hospital Dharmanagar","Oncology","Tripura","Dharmanagar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anjali Joshi","Max Super Speciality Hospital Kolkata","Internal Medicine","West Bengal","Kolkata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ishani Kulkarni","Holy Family Hospital Visakhapatnam","General Surgery","Andhra Pradesh","Visakhapatnam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Verma","District Civil Hospital, Vadodara","ENT","Gujarat","Vadodara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Preeti Aggarwal","Apollo Hospital Gaya","Urology","Bihar","Gaya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ishani Das","District Civil Hospital, Salem","Ophthalmology","Tamil Nadu","Salem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Karan Shah","Manipal Hospital Nongpoh","Ophthalmology","Meghalaya","Nongpoh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Arjun Pandey","Care Hospital Mysuru","ENT","Karnataka","Mysuru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rohan Patel","Government Medical College and Hospital, East Delhi","Dermatology","Delhi","East Delhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Manoj Patel","Apollo Hospital Bhubaneswar","Radiology","Odisha","Bhubaneswar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Shikha Mishra","Manipal Hospital Thiruvananthapuram","Urology","Kerala","Thiruvananthapuram","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Dinesh Kapoor","LifeLine Hospital Vijayapura","Internal Medicine","Karnataka","Vijayapura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Dinesh Malhotra","Care Hospital Naharlagun","Urology","Arunachal Pradesh","Naharlagun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Manoj Pandey","Care Hospital Asansol","Gynecology","West Bengal","Asansol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Tanvi Sharma","Max Super Speciality Hospital Dewas","Orthopedics","Madhya Pradesh","Dewas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rohan Trivedi","Manipal Hospital Jaipur","Gastroenterology","Rajasthan","Jaipur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anita Verma","Government Medical College and Hospital, Kavaratti","Pediatrics","Lakshadweep","Kavaratti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Kulkarni","Medanta - The Medicity Rourkela","Neurology","Odisha","Rourkela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rahul Reddy","District Civil Hospital, Panaji","Neurology","Goa","Panaji","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Preeti Shah","Apollo Hospital Naharlagun","Oncology","Arunachal Pradesh","Naharlagun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Manoj Reddy","LifeLine Hospital Port Blair","Pediatrics","Andaman and Nicobar Islands","Port Blair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Saritha Dutta","Narayana Health Karnal","Urology","Haryana","Karnal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Preeti Gupta","Care Hospital Prayagraj","Orthopedics","Uttar Pradesh","Prayagraj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Aakash Banerjee","Apollo Hospital Guwahati","Radiology","Assam","Guwahati","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sunita Deshmukh","Care Hospital Silvassa","Pulmonology","Dadra and Nagar Haveli and Daman and Diu","Silvassa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ritu Reddy","Care Hospital Dharmanagar","Pediatrics","Tripura","Dharmanagar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anjali Aggarwal","Holy Family Hospital Nongpoh","General Surgery","Meghalaya","Nongpoh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Kulkarni","Care Hospital Bhadrak","Nephrology","Odisha","Bhadrak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rajesh Singh","District Civil Hospital, Asansol","Gynecology","West Bengal","Asansol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Patel","Medanta - The Medicity Chennai","Gastroenterology","Tamil Nadu","Chennai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Amit Chatterjee","Aster DM Healthcare Lunglei","Anesthesiology","Mizoram","Lunglei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anita Reddy","Fortis Hospital Kargil","Orthopedics","Ladakh","Kargil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sunita Dutta","District Civil Hospital, Kozhikode","Dermatology","Kerala","Kozhikode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Swati Bose","Holy Family Hospital Churachandpur","Rheumatology","Manipur","Churachandpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Swati Dutta","Aster DM Healthcare Raipur","Orthopedics","Chhattisgarh","Raipur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Neha Malhotra","Narayana Health Tawang","Gynecology","Arunachal Pradesh","Tawang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Meera Bose","District Civil Hospital, Port Blair","Urology","Andaman and Nicobar Islands","Port Blair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Mohit Kulkarni","LifeLine Hospital Tura","Rheumatology","Meghalaya","Tura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Dinesh Das","Fortis Hospital Meerut","Ophthalmology","Uttar Pradesh","Meerut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Priyanka Patel","District Civil Hospital, Jorhat","Orthopedics","Assam","Jorhat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Arjun Joshi","All India Institute of Medical Sciences (AIIMS) Dharamshala","Internal Medicine","Himachal Pradesh","Dharamshala","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Saritha Malhotra","All India Institute of Medical Sciences (AIIMS) Hubballi-Dharwad","Rheumatology","Karnataka","Hubballi-Dharwad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Varun Das","All India Institute of Medical Sciences (AIIMS) Patiala","Internal Medicine","Punjab","Patiala","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Naveen Banerjee","Apollo Hospital Ambikapur","Oncology","Chhattisgarh","Ambikapur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Meera Dutta","Greenview Hospital Panipat","Psychiatry","Haryana","Panipat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rajesh Reddy","Fortis Hospital Dharamshala","Gastroenterology","Himachal Pradesh","Dharamshala","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Vivek Menon","Apollo Hospital Ranchi","Psychiatry","Jharkhand","Ranchi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anjali Khan","Government Medical College and Hospital, Salem","Orthopedics","Tamil Nadu","Salem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rohan Menon","St. Mary's Hospital Kavaratti","Endocrinology","Lakshadweep","Kavaratti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anita Mishra","Holy Family Hospital Rajkot","Neurology","Gujarat","Rajkot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Prakash Trivedi","LifeLine Hospital Nongpoh","Oncology","Meghalaya","Nongpoh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Dinesh Chauhan","Holy Family Hospital Balasore","Dermatology","Odisha","Balasore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Aakash Pandey","Greenview Hospital Shillong","Anesthesiology","Meghalaya","Shillong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ritu Mishra","Care Hospital Kailasahar","Gynecology","Tripura","Kailasahar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ishani Trivedi","District Civil Hospital, Vijayawada","Gastroenterology","Andhra Pradesh","Vijayawada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Vikram Mehta","Government Medical College and Hospital, Mapusa","Urology","Goa","Mapusa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Yash Chatterjee","Medanta - The Medicity Anantnag","Endocrinology","Jammu and Kashmir","Anantnag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Swati Aggarwal","Medanta - The Medicity Kochi","Urology","Kerala","Kochi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sneha Joshi","Medanta - The Medicity Bilaspur","Ophthalmology","Chhattisgarh","Bilaspur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Vikram Malhotra","Fortis Hospital Geyzing","Gynecology","Sikkim","Geyzing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Deepak Malhotra","Holy Family Hospital Vijayapura","Pulmonology","Karnataka","Vijayapura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anjali Gupta","LifeLine Hospital Aligarh","Nephrology","Uttar Pradesh","Aligarh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Naveen Rao","KIMS Hospital Chandigarh","Rheumatology","Chandigarh","Chandigarh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sunita Gupta","KIMS Hospital Silvassa","Ophthalmology","Dadra and Nagar Haveli and Daman and Diu","Silvassa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ravi Khan","Apollo Hospital Port Blair","Internal Medicine","Andaman and Nicobar Islands","Port Blair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Naveen Deshmukh","Apollo Hospital Diu","Urology","Dadra and Nagar Haveli and Daman and Diu","Diu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Varun Trivedi","KIMS Hospital Alappuzha","ENT","Kerala","Alappuzha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rahul Kumar","Apollo Hospital Leh","Psychiatry","Ladakh","Leh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Divya Aggarwal","Medanta - The Medicity Naharlagun","Neurology","Arunachal Pradesh","Naharlagun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ravi Trivedi","Greenview Hospital Kullu","Rheumatology","Himachal Pradesh","Kullu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Saritha Mehta","Aster DM Healthcare Jalandhar","Pediatrics","Punjab","Jalandhar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Karan Shah","Care Hospital Jaipur","Ophthalmology","Rajasthan","Jaipur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sanjay Nair","Medanta - The Medicity Mahbubnagar","Urology","Telangana","Mahbubnagar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sanjay Mehta","Aster DM Healthcare Balasore","Pulmonology","Odisha","Balasore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Dinesh Verma","Care Hospital Udaipur","Ophthalmology","Rajasthan","Udaipur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rahul Menon","City Life Hospital Jamshedpur","Pediatrics","Jharkhand","Jamshedpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Sharma","District Civil Hospital, Mahe","Neurology","Puducherry","Mahe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Karan Chatterjee","Care Hospital Bokaro Steel City","Psychiatry","Jharkhand","Bokaro Steel City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sanjay Kulkarni","Holy Family Hospital Vellore","Gastroenterology","Tamil Nadu","Vellore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Varun Bose","KIMS Hospital Jabalpur","Anesthesiology","Madhya Pradesh","Jabalpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Pooja Khan","St. Mary's Hospital Srinagar","Pulmonology","Jammu and Kashmir","Srinagar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Shikha Mehta","Government Medical College and Hospital, Hisar","Pediatrics","Haryana","Hisar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rohan Malhotra","St. Mary's Hospital Mandi","Urology","Himachal Pradesh","Mandi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Divya Banerjee","Care Hospital New Delhi","Gastroenterology","Delhi","New Delhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Kavita Sharma","City Life Hospital Bengaluru","ENT","Karnataka","Bengaluru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Manoj Dutta","All India Institute of Medical Sciences (AIIMS) Sambalpur","Oncology","Odisha","Sambalpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Vivek Kulkarni","Apollo Hospital Kavaratti","Rheumatology","Lakshadweep","Kavaratti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Naveen Mehta","Narayana Health Kargil","Dermatology","Ladakh","Kargil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Tanvi Iyer","KIMS Hospital Lunglei","Cardiology","Mizoram","Lunglei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Mohit Trivedi","Fortis Hospital Ponda","Gastroenterology","Goa","Ponda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ishani Chauhan","Aster DM Healthcare Siliguri","Cardiology","West Bengal","Siliguri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Karan Kumar","Narayana Health Aligarh","Cardiology","Uttar Pradesh","Aligarh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sunita Patel","KIMS Hospital Bareilly","Gastroenterology","Uttar Pradesh","Bareilly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Naveen Pillai","LifeLine Hospital Nizamabad","Internal Medicine","Telangana","Nizamabad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Priyanka Shah","Fortis Hospital Meerut","Anesthesiology","Uttar Pradesh","Meerut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Manoj Iyer","Aster DM Healthcare South Delhi","Neurology","Delhi","South Delhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Singh","All India Institute of Medical Sciences (AIIMS) Kathua","Radiology","Jammu and Kashmir","Kathua","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Karan Aggarwal","Care Hospital Daman","General Surgery","Dadra and Nagar Haveli and Daman and Diu","Daman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Kavita Pandey","District Civil Hospital, Patiala","Pulmonology","Punjab","Patiala","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Neha Reddy","Aster DM Healthcare Faridabad","Anesthesiology","Haryana","Faridabad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Swati Singh","Medanta - The Medicity Leh","Psychiatry","Ladakh","Leh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sameer Bose","Aster DM Healthcare Jowai","Endocrinology","Meghalaya","Jowai","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Sneha Malhotra","Care Hospital Ajmer","Psychiatry","Rajasthan","Ajmer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rahul Nair","Aster DM Healthcare Bathinda","Pulmonology","Punjab","Bathinda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Arjun Banerjee","Manipal Hospital Kakinada","Gynecology","Andhra Pradesh","Kakinada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Kiran Pandey","Apollo Hospital Mokokchung","Pulmonology","Nagaland","Mokokchung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Arjun Malhotra","City Life Hospital Kashipur","ENT","Uttarakhand","Kashipur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Kavita Verma","Narayana Health Gangtok","Pediatrics","Sikkim","Gangtok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
